DATE,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,12am,1am,2am,3am,4am,5am,6am
2019-08-21,2,6,35,83,65,74,69,70,50,38,N/A,10,7,11,8,4,2,4,2,1,1,0,0,0
2019-08-22,2,8,26,37,52,42,63,55,32,29,22,7,6,7,18,12,4,1,1,1,1,1,1,0
2019-08-23,3,10,30,94,62,65,42,38,29,12,14,4,4,3,1,x,x,x,x,x,x,x,x,x
2019-08-24,x,x,x,5,7,15,11,25,19,19,12,8,4,3,1,x,x,x,x,x,x,x,x,x
2019-08-25,x,x,x,6,14,22,27,31,36,34,29,28,17,12,8,10,4,5,3,4,4,0,0,1
2019-08-26,0,12,36,113,83,105,106,108,92,72,38,29,25,38,31,35,19,12,7,1,1,1,0,0
2019-08-27,1,19,33,52,75,101,97,65,71,53,27,26,25,31,49,42,26,16,11,2,2,1,1,1
2019-08-28,4,34,41,82,78,75,70,74,99,74,48,31,35,38,44,42,23,7,3,3,2,2,1,0
2019-08-29,3,18,46,51,52,86,45,76,71,67,68,52,41,37,38,32,19,10,7,3,3,1,0,0
2019-08-30,1,19,55,90,77,65,53,N/A,N/A,N/A,N/A,N/A,7,10,x,x,x,x,x,x,x,x,x,x
2019-08-31,x,x,x,5,8,13,16,13,8,12,10,9,8,6,6,x,x,x,x,x,x,x,x,x
2019-09-01,x,x,x,2,15,26,38,39,47,51,45,59,69,71,53,55,42,31,5,1,1,0,0,2
2019-09-02,2,12,40,67,71,85,83,88,72,74,66,42,49,39,42,31,27,N/A,16,10,1,1,1,1
2019-09-03,2,16,30,42,49,52,58,71,79,38,42,41,41,54,57,51,27,19,12,5,4,1,0,0
2019-09-04,3,9,50,104,98,104,76,107,93,84,76,30,32,44,47,29,27,18,10,2,5,4,0,0
2019-09-05,5,11,29,47,44,73,57,68,76,80,63,47,51,51,35,29,27,16,8,1,0,0,0,0
2019-09-06,1,7,43,68,77,109,60,76,46,36,21,13,10,11,2,x,x,x,x,x,x,x,x,x
2019-09-07,x,x,x,10,25,35,42,39,45,57,31,26,18,12,8,x,x,x,x,x,x,x,x,x
2019-09-08,x,x,x,3,12,24,49,54,51,60,51,52,48,54,50,46,92,36,11,6,4,2,2,2
2019-09-09,3,8,31,N/A,85,94,88,81,77,68,N/A,46,66,77,88,84,50,32,10,5,4,2,0,0
2019-09-10,0,2,18,36,42,51,71,142,110,97,90,84,80,91,103,131,111,96,67,20,10,3,1,1
2019-09-11,7,18,110,118,87,95,116,96,73,65,50,34,57,58,63,58,61,56,22,14,7,4,3,0
2019-09-12,2,30,35,56,47,100,41,72,87,81,71,N/A,51,65,67,61,43,22,18,18,16,2,3,N/A
